Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,339939,-,-,-,31.05,-110.74,-7,1576,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag
2013,1,1,5,0,0,0,0,0,0,0,1,-4.538854980468727,-3.3097595214843523,868.7410888671875,91.20296478271484,119.49567216059523,2.733959436416626,46.43429183959961,3.347393035888672,0
2013,1,1,5,30,0,0,0,0,0,0,1,-4.584020996093727,-3.3066162109374773,868.97509765625,90.87187957763672,113.21566614572885,2.76747989654541,46.43429183959961,3.4251961708068848,0
2013,1,1,6,0,0,0,0,0,0,0,1,-4.629370117187477,-3.3034423828124773,869.2090454101562,90.54057312011719,107.02122920138238,2.8010001182556152,45.82124328613281,3.5029993057250977,0
2013,1,1,6,30,0,0,0,0,0,0,1,-4.671179199218727,-3.0486816406249773,869.2327880859375,88.55992126464844,100.93474643034483,2.8606348037719727,45.82124328613281,3.585343837738037,0
2013,1,1,7,0,0,0,0,0,0,0,4,-4.713110351562477,-2.7938903808593523,869.2565307617188,86.625,94.9823823787403,2.920269727706909,46.86394500732422,3.6676883697509766,0
2013,1,1,7,30,0,0,0,0,0,0,4,-4.656591796874977,-1.5245422363281023,869.1806640625,79.2127914428711,89.19210673465027,2.9802584648132324,46.86394500732422,3.5852136611938477,0
2013,1,1,8,0,41,60,47,30,580,94,4,-4.600805664062477,-0.25516357421872726,869.104736328125,72.50181579589844,83.61128242271651,3.0402472019195557,51.19379806518555,3.5027389526367188,4
2013,1,1,8,30,79,90,98,42,752,195,4,-5.227667236328102,1.4640136718750227,869.0537109375,61.080867767333984,78.27947007678166,3.118248701095581,51.19379806518555,3.5847349166870117,0
2013,1,1,9,0,87,0,87,50,850,295,4,-5.881811523437477,3.1832214355468977,869.0026245117188,51.428382873535156,73.25585195588506,3.1962502002716064,52.29537582397461,3.6667306423187256,0
2013,1,1,9,30,138,19,145,56,911,388,4,-6.557226562499977,4.670281982421898,868.7800903320312,43.998878479003906,68.6110086867453,3.3216569423675537,52.29537582397461,3.6848678588867188,0
2013,1,1,10,0,166,22,176,60,952,471,4,-7.264379882812477,6.157373046875023,868.5575561523438,37.586307525634766,64.42922596024745,3.447063684463501,51.603485107421875,3.703005313873291,0
2013,1,1,10,30,224,99,272,63,980,542,4,-7.936254882812477,7.412042236328148,868.1417236328125,32.74032211303711,60.808047166826114,3.552821636199951,51.603485107421875,3.6489410400390625,0
2013,1,1,11,0,239,65,274,66,999,598,4,-8.639562988281227,8.666711425781273,867.7258911132812,28.465286254882812,57.8544181706241,3.6585795879364014,50.71602249145508,3.594876766204834,0
2013,1,1,11,30,274,156,362,67,1012,638,4,-9.175115966796852,9.589746093750023,867.2738037109375,25.652889251708984,55.67591239364703,3.7121992111206055,50.71602249145508,3.477489709854126,0
2013,1,1,12,0,284,139,365,68,1019,662,4,-9.730535888671852,10.512811279296898,866.8217163085938,23.088268280029297,54.36665967859502,3.7658185958862305,51.76328659057617,3.360102653503418,0
2013,1,1,12,30,289,160,383,69,1020,668,4,-9.995520019531227,10.927972412109398,866.4112548828125,21.99531364440918,53.990440175263004,3.8309009075164795,51.76328659057617,3.2269270420074463,0
2013,1,1,13,0,241,435,494,68,1016,658,7,-10.265234374999977,11.343133544921898,866.0008544921875,20.947233200073242,54.56670262661408,3.8959832191467285,55.18305587768555,3.0937514305114746,0
2013,1,1,13,30,67,1007,630,67,1007,630,1,-10.339544677734352,11.313043212890648,865.84423828125,20.866029739379883,56.06588539015734,3.94055438041687,55.18305587768555,2.9493770599365234,0
2013,1,1,14,0,65,993,585,65,993,585,0,-10.414190673828102,11.282952880859398,865.6875610351562,20.78447723388672,58.41645194818081,3.9851255416870117,58.11302185058594,2.8050029277801514,0
2013,1,1,14,30,63,970,525,63,970,525,0,-10.507360839843727,10.809533691406273,865.5830078125,21.2900447845459,61.520065337692145,4.02094030380249,58.11302185058594,2.684903621673584,0
