Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,339939,-,-,-,31.05,-110.74,-7,1576,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag
2010,1,1,5,30,0,0,0,0,0,0,1,-11.001898193359352,-0.24426879882810226,870.10791015625,44.13386154174805,113.20061920621959,3.318422555923462,68.31855773925781,4.633270263671875,0
2010,1,1,6,0,0,0,0,0,0,0,1,-10.931768798828102,-0.24948730468747726,870.1637573242188,44.39748764038086,107.00726091689154,3.4437220096588135,68.84239959716797,4.629125118255615,0
2010,1,1,6,30,0,0,0,0,0,0,1,-10.832739257812477,-0.05298461914060226,870.1663818359375,44.11445617675781,100.92205469189649,3.592690944671631,68.84239959716797,4.617514133453369,0
2010,1,1,7,0,0,0,0,0,0,0,1,-10.734381103515602,0.14354858398439774,870.1689453125,43.83134841918945,94.9711817317849,3.7416598796844482,69.59589385986328,4.605903148651123,0
2010,1,1,7,30,0,0,0,0,0,0,1,-10.464483642578102,1.5598999023437727,870.3408203125,40.43727493286133,89.18267882907813,3.9081766605377197,69.59589385986328,4.466326713562012,0
2010,1,1,8,0,29,566,93,29,566,93,1,-10.200476074218727,2.9762817382812727,870.5126953125,37.330474853515625,83.60382492923856,4.074693202972412,71.22124481201172,4.326750755310059,0
2010,1,1,8,30,41,738,192,41,738,192,0,-9.631719970703102,5.290093994140648,870.62841796875,33.19519805908203,78.27431403439726,4.109341144561768,71.22124481201172,4.139007091522217,0
2010,1,1,9,0,50,837,291,50,837,291,0,-9.088293457031227,7.603906250000023,870.7442016601562,29.541501998901367,73.2533439206988,4.143989086151123,73.46786499023438,3.951263427734375,0
2010,1,1,9,30,55,900,384,55,900,384,0,-8.287756347656227,9.866052246093773,870.6749267578125,26.987377166748047,68.61152649511877,4.178430080413818,73.46786499023438,3.918386459350586,0
2010,1,1,10,0,60,943,467,60,943,467,0,-7.534796142578102,12.128198242187523,870.605712890625,24.61983299255371,64.43316439695292,4.212871074676514,77.1435546875,3.885509490966797,0
