Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Snow Depth Units,Cloud Type -1,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Version
NSRDB,339939,-,-,-,31.05,-110.74,-7,1576,-7,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,mm,Degrees,m/s,m,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,v2.0.1
Year,Month,Day,Hour,Minute,DHI,DNI,GHI,Clearsky DHI,Clearsky DNI,Clearsky GHI,Cloud Type,Dew Point,Temperature,Pressure,Relative Humidity,Solar Zenith Angle,Precipitable Water,Wind Direction,Wind Speed,Fill Flag
2012,1,1,0,0,0,0,0,0,0,0,0,-2.1409362792968523,10.359613037109398,871.21875,41.594932556152344,170.09996606544115,5.111438751220703,75.6099624633789,2.3312134742736816,0
2012,1,1,0,30,0,0,0,0,0,0,0,-2.3970703124999773,10.144708251953148,871.278564453125,41.404945373535156,171.9454019635112,5.140427589416504,75.6099624633789,2.3695530891418457,0
2012,1,1,1,0,0,0,0,0,0,0,0,-2.6577209472656023,9.929772949218773,871.3383178710938,41.20148849487305,169.01649155936394,5.1694159507751465,75.24333953857422,2.4078927040100098,0
2012,1,1,1,30,0,0,0,0,0,0,0,-2.7706970214843523,9.810449218750023,871.3900146484375,41.18549346923828,163.7181993588594,5.212341785430908,75.24333953857422,2.6038951873779297,0
2012,1,1,2,0,0,0,0,0,0,0,1,-2.8845581054687273,9.691125488281273,871.441650390625,41.166778564453125,157.69007618039802,5.255268096923828,76.90190124511719,2.7998976707458496,0
2012,1,1,2,30,0,0,0,0,0,0,0,-3.0421508789062273,9.604608154296898,871.626708984375,40.92425537109375,151.4049678437037,5.17108678817749,76.90190124511719,3.0794713497161865,0
2012,1,1,3,0,0,0,0,0,0,0,0,-3.2014831542968523,9.518060302734398,871.8117065429688,40.677513122558594,145.0188844675375,5.086905479431152,78.31342315673828,3.3590450286865234,0
2012,1,1,3,30,0,0,0,0,0,0,0,-3.2506164550781023,9.366540527343773,871.9808349609375,40.9437255859375,138.59874763767976,5.039895057678223,78.31342315673828,3.628929615020752,0
2012,1,1,4,0,0,0,0,0,0,0,0,-3.2999328613281023,9.215051269531273,872.14990234375,41.21140670776367,132.18098546864275,4.992884159088135,79.08283233642578,3.8988144397735596,0
2012,1,1,4,30,0,0,0,0,0,0,0,-3.3515686035156023,8.961877441406273,872.4814453125,41.7595100402832,125.79021990598102,4.966844081878662,79.08283233642578,4.106233596801758,0
